Scientificname,Commonname,SIGNAL_art,RL2020kat,Giftsvamp,Nyasvamp-boken,ekologi,Kriteriedokumentation
Russula vitellina,äggkremla,,LC,,x,"Växer med björk i lövskog, blandskog och parker. Ibland påträffad under gran.",De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Livskraftig (LC).
Russula aurea,guldkremla,S,LC,,x,Växer i lövskog och parker och örtrik barrskog i södra och mellersta Sverige. ,De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Livskraftig (LC).
Russula velenovskyi,gulröd kremla,,LC,,x,,De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Livskraftig (LC).
Boletus reticulatus,finluden stensopp,,LC,,x,Växer med ek och bok i lövskogar i södra Sverige.,De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Livskraftig (LC).
Lactarius pubescens,blek skäggriska,,LC,,x,,De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Livskraftig (LC).
Leccinum variicolor,fläcksopp,,LC,,x,,De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Livskraftig (LC).
Ramaria botrytis,druvfingersvamp,,NT,,x,"Förekommer främst i södra sveriges bokskogar men växer även i mossig barr- och blandskog, gärna tillsammans med ek, upp till mellersta Sverige.","Bildar mykorrhiza med ek, bok och barrträd, i äldre ängsbokskog, hässlen med ek samt äldre barr- och blandskog. Total population i landet bedöms ha minskat och fortsatt att minska, huvudsakligen p.g.a. slutavverkningar av äldre barrskog. Bedömningen avser R. botrytis s.lat. som innehåller flera taxa i landet. Den form som växer under tall (ännu obeskriven) är den som bedöms ha den minskningstakt som motsvarar VU medan lövskogsformen bedöms något stabilare men likväl missgynnas av såväl skogsavverkning som igenväxning. Arten är inte påträffad i och förefaller ha svårt att nyetableras i skogar uppkomna efter kalavverkning. Antalet reproduktiva individer överstiger gränsvärdet för rödlistning. Antalet har skattats genom att multiplicera tre faktorer: 1) Troliga antalet aktuella lokaler i landet (1500). 2) Bedömt antal unika mycel/lokal (2). 3) En schablon för hur många fragmenterade enheter varje unikt mycel bedöms ge upphov till (10). Antalet lokalområden i landet skattas till 1500 (290-3000). Utbredningsområdets storlek (EOO) och förekomstarean (AOO) överskrider gränsvärdena för rödlistning. En minskning av populationen pågår eller förväntas ske. Minskningen avser kvalitÃ©n på artens habitat. Minskningstakten uppgår till 15 % inom 50 år. Den minskande trenden har pågått en tid och bedöms fortsätta. Bedömningen baseras på minskad geografisk utbredning och/eller försämrad habitatkvalitet. De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Nära hotad (NT). Minskningstakten för den svenska populationen bedöms vara nära gränsvärdet för Sårbar (VU). (A2c+3c+4c)."
Hygrophorus karstenii,äggvaxskivling,,NT,,x,Växer med gran i mossig granskog. Vanligast i norra Sverige. ,"Bildar mykorrhiza med gran och förekommer huvudsakligen i äldre blåbärsgranskog. Har i Sverige en nordlig utbredningsbild och är relativt vanlig i norra Sverige. Total population i landet bedöms ha minskat kraftigt och fortgående att minska p.g.a. slutavverkningar av kontinuitetsskogar. Ã„r sedan länge känd under namnet H. karstenii. Namnet H. melizeus är äldre och har därför prioritet enligt den botaniska nomenklaturen, men en formell konservering av namnet H. karstenii är önskvärt eftersom namnet H. karstenii är etablerat och väl inarbetat sedan lång tid tillbaka. Antalet reproduktiva individer överstiger gränsvärdet för rödlistning. Antalet har skattats genom att multiplicera tre faktorer: 1) Troliga antalet aktuella lokaler i landet (5000). 2) Bedömt antal unika mycel/lokal (2). 3) En schablon för hur många fragmenterade enheter varje unikt mycel bedöms ge upphov till (10). Antalet lokalområden i landet skattas till 5000 (250-10000). Utbredningsområdets storlek (EOO) och förekomstarean (AOO) överskrider gränsvärdena för rödlistning. En minskning av populationen pågår eller förväntas ske. Minskningen avser kvalitÃ©n på artens habitat. Minskningstakten uppgår till 15 % inom 50 år. Den minskande trenden har pågått en tid och bedöms fortsätta. Bedömningen baseras på minskad geografisk utbredning och/eller försämrad habitatkvalitet. De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Nära hotad (NT). Minskningstakten för den svenska populationen bedöms vara nära gränsvärdet för Sårbar (VU). (A2c+3c+4c)."
Gomphidius roseus,rosenslemskivling,,LC,,x,Växer med tall och man finner den oftast tillsammans med örsopp.,De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Livskraftig (LC).
Leccinum holopus,kärrsopp,,LC,,x,,De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Livskraftig (LC).
Suillus grevillei,lärksopp,,NA,,x,Växer med lärk och finns över hela landet i parker och skogar med lärkträd. ,"Bildar mykorrhiza med lärk. Passivt inkommen art som inte är naturaliserad före år 1800. Svensk förekomst: Bofast och reproducerande, Svensk invandringshistoria: Passivt inkommen efter år 1800."
Hygrophorus hypothejus var. hypothejus,frostvaxskivling (var. hypothejus),,NE,,x,Växer ofta bland renlav med tall över hela Norden. Kommer ofta sent på hösten efter de första frostnätterna.,
Tricholoma portentosum,streckmusseron,,LC,,x,Växer främst i barrskog men är även funnen i lövskog. ,De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Livskraftig (LC).
Leccinellum pseudoscabrum,hasselsopp,S,LC,,x,,De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Livskraftig (LC).
Leccinum vulpinum,tallsopp,,LC,,x,,De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Livskraftig (LC).
Cantharellus pallens,blek kantarell,,LC,,x,"Växer i näringsrik jord under hassel och ek, men påträffas även tillsammans med bl a björk, lind och bok. ",De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Livskraftig (LC).
Russula favrei,gransillkremla,,LC,,x,,De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Livskraftig (LC).
Xerocomus subtomentosus,sammetssopp,,LC,,x,,De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Livskraftig (LC).
Albatrellus subrubescens,lammticka,,VU,,x,"Växer med tall på tallhedar, gärna på sandig mark. ","Bildar mykorrhiza med tall. Boreal art som påträffas i äldre barrskog, ofta magra tallhedar och är indifferent till förekomst av kalk. Arten har tidigare sammanblandats med gul lammticka (A. citrinus) som beskrevs 2003, bildar mykorrhiza med gran och som förefaller vara kalkgynnad. Sannolikt är ett antal äldre fynd registrerade som A. subrubescens egentligen A. citrinus. Förefaller ha svårt att etablera sig efter avverkning men påträffas sparsamt även i yngre 25â€“40-åriga tallplanteringar. Markstörning, tunna vegetationsskikt och brand bedöms gynna arten. På självföryngrade marker efter avverkning lämnas troligen frötallar för kort tid för att lammticka skall kunna fortleva in i det uppväxande beståndet. Grupper av hänsynsträd och evighetsträd bedöms ha större betydelse. Sammantaget bedöms den totala populationen i landet ha minskat och fortfarande minska p.g.a. att den huvudsakligen förekommer i äldre tallskog som avverkas och minskar i areal. Antalet reproduktiva individer skattas till 7500 (1000-15000). Antalet har skattats genom att multiplicera tre faktorer: 1) Troliga antalet aktuella lokaler i landet (375). 2) Bedömt antal unika mycel/lokal (2). 3) En schablon för hur många fragmenterade enheter varje unikt mycel bedöms ge upphov till (10). Antalet lokalområden i landet skattas till 375 (50-750). Utbredningsområdets storlek (EOO) överskrider gränsvärdet för rödlistning. Förekomstarean (AOO) skattas till 1500 (800-1500) kmÂ². En minskning av populationen pågår eller förväntas ske. Minskningen avser kvalitÃ©n på artens habitat. Minskningstakten uppgår till 30 % inom 50 år. Den minskande trenden har pågått en tid och bedöms fortsätta. Bedömningen baseras på minskad geografisk utbredning och/eller försämrad habitatkvalitet. De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Sårbar (VU). Minskningstakten överstiger gränsvärdet för Sårbar (VU) enligt A-kriteriet. Fortgående minskning förekommer i kombination med att antalet reproduktiva individer är lågt vilket gör att arten hamnar i kategorin Sårbar (VU). (A2c+3c+4c, C2a(i))."
Russula graveolens,eksillkremla,,LC,,x,Växer med ek i södra och mellersta Sverige.,De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Livskraftig (LC).
Lactarius sanguifluus,vinriska,,LC,,x,"Växer med tall på kalkrik mark i södra Sverige, huvudsakligen på Gotland.","Bildar mykorrhiza med tall. Påträffas i kalktallskog med stark kalkpåverkan, ofta med tunnt, torrt och stenigt jordlager. Förekommer främst på Gotland som utgör artens huvudutbredning i landet. Artens kända och potentiella växtlokaler bedöms inte minska i tillräcklig omfattning för att arten ska uppfylla kriterierna för att bli rödlistad. Antalet reproduktiva individer skattas till 4500 (900-9000). Antalet har skattats genom att multiplicera tre faktorer: 1) Troliga antalet aktuella lokaler i landet (150). 2) Bedömt antal unika mycel/lokal (3). 3) En schablon för hur många fragmenterade enheter varje unikt mycel bedöms ge upphov till (10). Antalet lokalområden i landet skattas till 150 (30-300). Utbredningsområdets storlek (EOO) skattas till 20000 (18832-20000) kmÂ² och förekomstarean (AOO) till 600 (120-1200) kmÂ². Beroende på vilka av de skattade värdena som används varierar bedömningen från Livskraftig (LC) till Sårbar (VU). Baserat på de troligaste värdena hamnar arten i kategorin Livskraftig (LC)."
Leccinum quercinum,eksopp,,LC,,x,,De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Livskraftig (LC).
Russula xerampelina s. lat.,sillkremlor,,NA,,x,,Svensk förekomst: Bofast och reproducerande.
Russula clavipes,olivsillkremla,,LC,,x,,De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Livskraftig (LC).
Leccinum rotundifoliae,rensopp,,LC,,x,,De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Livskraftig (LC).
Leccinum piceinum,gransopp,,LC,,x,,De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Livskraftig (LC).
Paxillus involutus s.lat.,pluggskivling,,LC,x,,,De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Livskraftig (LC).
Lactarius necator,svartriska,,LC,x,,,De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Livskraftig (LC).
Inocybe geophylla,sidentråding,,LC,x,,,De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Livskraftig (LC).
Amanita muscaria,röd flugsvamp,,NE,x,,,
Cortinarius armillatus,rödbandad spindling,,LC,x,,,De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Livskraftig (LC).
Lactarius helvus,lakritsriska,,LC,x,,,De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Livskraftig (LC).
Russula emetica,giftkremla,,LC,x,,,De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Livskraftig (LC).
Amanita regalis,brun flugsvamp,,NE,x,,,
Tricholoma saponaceum,såpmusseron,,LC,x,,,De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Livskraftig (LC).
Amanita virosa,vit flugsvamp,,LC,x,,,De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Livskraftig (LC).
Cortinarius sanguineus s. lat.,blodspindling,,NA,x,,,Svensk förekomst: Bofast och reproducerande.
Cortinarius limonius,eldspindling,,LC,x,,,De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Livskraftig (LC).
Amanita pantherina,panterflugsvamp,,LC,x,,,De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Livskraftig (LC).
Cortinarius rubellus,toppig giftspindling,,LC,x,,,De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Livskraftig (LC).
Pseudosperma rimosum,topptråding,,LC,x,,,De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Livskraftig (LC).
Tricholoma inamoenum,luktmusseron,,LC,x,,,De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Livskraftig (LC).
Cortinarius gentilis,gulbandad spindling,,LC,x,,,De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Livskraftig (LC).
Tricholoma terreum,jordmusseron,,LC,x,,,De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Livskraftig (LC).
Tricholoma equestre,riddarmusseron,,LC,x,,,De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Livskraftig (LC).
Inocybe lilacina,violett sidentrådskivling,,LC,x,,,De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Livskraftig (LC).
Amanita phalloides,lömsk flugsvamp,S,LC,x,,,De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Livskraftig (LC).
Hebeloma crustuliniforme,tårfränskivling,,LC,x,,,De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Livskraftig (LC).
Tricholoma virgatum,gallmusseron,,LC,x,,,De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Livskraftig (LC).
Cortinarius meinhardii,äggspindling,,NT,x,,,Bildar mykorrhiza med gran i ängsgranskog på kalkrik mark. Kan lokalt vara mycket vanlig och ibland förekomma även i yngre granskog på frisk kalkmark. Total population i landet bedöms dock ha minskat p.g.a. slutavverkning av äldre kontinuitetsskog. Har uppenbart svårt att återetableras efter avverkning. Antalet reproduktiva individer överstiger gränsvärdet för rödlistning. Antalet har skattats genom att multiplicera tre faktorer: 1) Troliga antalet aktuella lokaler i landet (500). 2) Bedömt antal unika mycel/lokal (5). 3) En schablon för hur många fragmenterade enheter varje unikt mycel bedöms ge upphov till (10). Antalet lokalområden i landet skattas till 500 (100-1000). Utbredningsområdets storlek (EOO) överskrider gränsvärdet för rödlistning. Förekomstarean (AOO) skattas till 2000 (800-2000) kmÂ². En minskning av populationen pågår eller förväntas ske. Minskningen avser kvalitÃ©n på artens habitat. Minskningstakten uppgår till 15 % inom 50 år. Den minskande trenden har pågått en tid och bedöms fortsätta. Bedömningen baseras på minskad geografisk utbredning och/eller försämrad habitatkvalitet. De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Nära hotad (NT). Minskningstakten för den svenska populationen bedöms vara nära gränsvärdet för Sårbar (VU). (A2c+3c+4c).
Hebeloma sinapizans,senapsfränskivling,,LC,x,,,De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Livskraftig (LC).
