id,environment_id,environment_message,species_count
84,North Sweden-Mixed Deciduous-Broad grasses-91< years,,200
85,North Sweden-Mixed Deciduous-Narrow grasses-1-40 years,,200
86,North Sweden-Mixed Deciduous-Narrow grasses-41-90 years,,200
87,North Sweden-Mixed Deciduous-Narrow grasses-91< years,,200
88,North Sweden-Mixed Deciduous-Blueberry-1-40 years,,200
89,North Sweden-Mixed Deciduous-Blueberry-41-90 years,,200
90,North Sweden-Mixed Deciduous-Blueberry-91< years,,200
91,North Sweden-Mixed Deciduous-Lingonberry-1-40 years,,200
92,North Sweden-Mixed Deciduous-Lingonberry-41-90 years,,200
93,North Sweden-Mixed Deciduous-Lingonberry-91< years,,200
94,North Sweden-Mixed Deciduous-Crowberry/heather-1-40 years,,200
95,North Sweden-Mixed Deciduous-Crowberry/heather-41-90 years,,200
96,North Sweden-Mixed Deciduous-Crowberry/heather-91< years,,200
97,South Sweden-Spruce-Tall herbs-1-40 years,,200
98,South Sweden-Spruce-Tall herbs-41-90 years,,200
99,South Sweden-Spruce-Tall herbs-91< years,,200
100,South Sweden-Spruce-Low herbs-1-40 years,,200
101,South Sweden-Spruce-Low herbs-41-90 years,,200
102,South Sweden-Spruce-Low herbs-91< years,,200
103,South Sweden-Spruce-No field layer-1-40 years,,200
104,South Sweden-Spruce-No field layer-41-90 years,,200
105,South Sweden-Spruce-No field layer-91< years,,200
106,South Sweden-Spruce-Broad grasses-1-40 years,,200
107,South Sweden-Spruce-Broad grasses-41-90 years,,200
108,South Sweden-Spruce-Broad grasses-91< years,,200
109,South Sweden-Spruce-Narrow grasses-1-40 years,,200
110,South Sweden-Spruce-Narrow grasses-41-90 years,,200
111,South Sweden-Spruce-Narrow grasses-91< years,,200
112,South Sweden-Spruce-Blueberry-1-40 years,,200
113,South Sweden-Spruce-Blueberry-41-90 years,,200
114,South Sweden-Spruce-Blueberry-91< years,,200
115,South Sweden-Spruce-Lingonberry-1-40 years,,200
116,South Sweden-Spruce-Lingonberry-41-90 years,,200
117,South Sweden-Spruce-Lingonberry-91< years,,200
118,South Sweden-Spruce-Crowberry/heather-1-40 years,,200
119,South Sweden-Spruce-Crowberry/heather-41-90 years,,200
120,South Sweden-Spruce-Crowberry/heather-91< years,,200
121,South Sweden-Pine-Tall herbs-1-40 years,,200
122,South Sweden-Pine-Tall herbs-41-90 years,,200
123,South Sweden-Pine-Tall herbs-91< years,,200
124,South Sweden-Pine-Low herbs-1-40 years,,200
125,South Sweden-Pine-Low herbs-41-90 years,,200
126,South Sweden-Pine-Low herbs-91< years,,200
127,South Sweden-Pine-No field layer-1-40 years,,200
128,South Sweden-Pine-No field layer-41-90 years,,200
129,South Sweden-Pine-No field layer-91< years,,200
130,South Sweden-Pine-Broad grasses-1-40 years,,200
131,South Sweden-Pine-Broad grasses-41-90 years,,200
132,South Sweden-Pine-Broad grasses-91< years,,200
133,South Sweden-Pine-Narrow grasses-1-40 years,,200
134,South Sweden-Pine-Narrow grasses-41-90 years,,200
135,South Sweden-Pine-Narrow grasses-91< years,,200
136,South Sweden-Pine-Blueberry-1-40 years,,200
137,South Sweden-Pine-Blueberry-41-90 years,,200
138,South Sweden-Pine-Blueberry-91< years,,200
139,South Sweden-Pine-Lingonberry-1-40 years,,200
140,South Sweden-Pine-Lingonberry-41-90 years,,200
141,South Sweden-Pine-Lingonberry-91< years,,200
142,South Sweden-Pine-Crowberry/heather-1-40 years,,200
143,South Sweden-Pine-Crowberry/heather-41-90 years,,200
144,South Sweden-Pine-Crowberry/heather-91< years,,200
145,South Sweden-Mixed Coniferous-Tall herbs-1-40 years,,200
146,South Sweden-Mixed Coniferous-Tall herbs-41-90 years,,200
147,South Sweden-Mixed Coniferous-Tall herbs-91< years,,200
148,South Sweden-Mixed Coniferous-Low herbs-1-40 years,,200
149,South Sweden-Mixed Coniferous-Low herbs-41-90 years,,200
150,South Sweden-Mixed Coniferous-Low herbs-91< years,,200
151,South Sweden-Mixed Coniferous-No field layer-1-40 years,,200
152,South Sweden-Mixed Coniferous-No field layer-41-90 years,,200
153,South Sweden-Mixed Coniferous-No field layer-91< years,,200
154,South Sweden-Mixed Coniferous-Broad grasses-1-40 years,,200
155,South Sweden-Mixed Coniferous-Broad grasses-41-90 years,,200
156,South Sweden-Mixed Coniferous-Broad grasses-91< years,,200
157,South Sweden-Mixed Coniferous-Narrow grasses-1-40 years,,200
158,South Sweden-Mixed Coniferous-Narrow grasses-41-90 years,,200
159,South Sweden-Mixed Coniferous-Narrow grasses-91< years,,200
160,South Sweden-Mixed Coniferous-Blueberry-1-40 years,,200
161,South Sweden-Mixed Coniferous-Blueberry-41-90 years,,200
162,South Sweden-Mixed Coniferous-Blueberry-91< years,,200
163,South Sweden-Mixed Coniferous-Lingonberry-1-40 years,,200
164,South Sweden-Mixed Coniferous-Lingonberry-41-90 years,,200
165,South Sweden-Mixed Coniferous-Lingonberry-91< years,,200
166,South Sweden-Mixed Coniferous-Crowberry/heather-1-40 years,,200
167,South Sweden-Mixed Coniferous-Crowberry/heather-41-90 years,,200
168,South Sweden-Mixed Coniferous-Crowberry/heather-91< years,,200
169,South Sweden-Mixed Deciduous-Tall herbs-1-40 years,,200
170,South Sweden-Mixed Deciduous-Tall herbs-41-90 years,,200
171,South Sweden-Mixed Deciduous-Tall herbs-91< years,,200
172,South Sweden-Mixed Deciduous-Low herbs-1-40 years,,200
173,South Sweden-Mixed Deciduous-Low herbs-41-90 years,,200
174,South Sweden-Mixed Deciduous-Low herbs-91< years,,200
175,South Sweden-Mixed Deciduous-No field layer-1-40 years,,200
176,South Sweden-Mixed Deciduous-No field layer-41-90 years,,200
177,South Sweden-Mixed Deciduous-No field layer-91< years,,200
178,South Sweden-Mixed Deciduous-Broad grasses-1-40 years,,200
179,South Sweden-Mixed Deciduous-Broad grasses-41-90 years,,200
180,South Sweden-Mixed Deciduous-Broad grasses-91< years,,200
181,South Sweden-Mixed Deciduous-Narrow grasses-1-40 years,,200
182,South Sweden-Mixed Deciduous-Narrow grasses-41-90 years,,200
183,South Sweden-Mixed Deciduous-Narrow grasses-91< years,,200
184,South Sweden-Mixed Deciduous-Blueberry-1-40 years,,200
185,South Sweden-Mixed Deciduous-Blueberry-41-90 years,,200
186,South Sweden-Mixed Deciduous-Blueberry-91< years,,200
187,South Sweden-Mixed Deciduous-Lingonberry-1-40 years,,200
188,South Sweden-Mixed Deciduous-Lingonberry-41-90 years,,200
189,South Sweden-Mixed Deciduous-Lingonberry-91< years,,200
190,South Sweden-Mixed Deciduous-Crowberry/heather-1-40 years,,200
191,South Sweden-Mixed Deciduous-Crowberry/heather-41-90 years,,200
192,South Sweden-Mixed Deciduous-Crowberry/heather-91< years,,200
